deal_id,category,subcategory,geo,title,description,fine_print,num_options,option_names,price,value,discount_pct,merchant_name,image_quality_score,days_live,weekly_udvs_w1,weekly_orders_w1,weekly_udvs_w2,weekly_orders_w2,weekly_udvs_w3,weekly_orders_w3,weekly_udvs_w4,weekly_orders_w4,weekly_udvs_w5,weekly_orders_w5,weekly_udvs_w6,weekly_orders_w6,weekly_udvs_w7,weekly_orders_w7,weekly_udvs_w8,weekly_orders_w8,cvr,aov,refund_rate
d04a54f4-c8aa-4083-bba5-9b67df39c6e8,Home Services,HVAC,Seattle,Termite Inspection & Treatment Plan at GreenLeaf Services,"What We Offer: Our licensed, bonded, and insured professionals arrive at your home with all necessary supplies and equipment — you don't need to provide anything. The service includes a thorough walkthrough before we begin, the service itself, and a final inspection with you to ensure everything meets your standards. We clean up after ourselves. Why You Should Grab This Offer: We've served over 2,000 homes in Seattle and maintain a 4.7-star rating. Every technician is background-checked, drug-tested, and has an average of 8 years of experience. We offer a 100% satisfaction guarantee — if you're not happy, we come back and fix it at no charge. Our customers particularly appreciate our on-time arrival and transparent pricing with no hidden fees. Good to Know: Serving Seattle and surrounding areas within 30 miles. Online booking with 2-hour arrival windows. Service takes approximately 1-3 hours depending on home size and scope.",Not valid on holidays; Promotional value expires 120 days after purchase; Excludes alcohol,4,"Single Room, Multi-Room Package, Complete Home Overhaul",105,184,0.4293,GreenLeaf Services,3,19,1479,135,1185,88,1507,153,2223,171,1598,112,1561,99,1758,134,1793,148,0.079365,88.62,0.0793
d94bb39f-843c-4ac6-9a93-7dbabd1314ed,Health & Fitness,Chiropractic,Chicago,Phentermine Weight-Loss Program w/ Consultation at Peak Med Center,"What We Offer: This package includes an initial assessment with a certified professional who will review your health history, discuss your goals, and create a personalized treatment or training plan. All sessions are one-on-one in a modern, fully equipped facility. Equipment is sanitized between each client. Why You Should Grab This Offer: Our practitioners hold nationally recognized certifications and undergo continuing education annually. We take a data-driven approach — your progress is tracked session to session, with adjustments made based on measurable outcomes, not guesswork. Over 85% of our clients report noticeable improvement within the first month. Good to Know: Flexible scheduling with morning, afternoon, and evening slots available. Located in Chicago with free on-site parking. Insurance not accepted — all pricing is transparent and upfront with no hidden fees.",48-hour cancellation policy; Photo ID required; Valid at Chicago location only; Must present voucher on arrival; Valid for dine-in only; Subject to availability; Limit 1 per household,3,"Option 1, Option 2, Option 3",56,142,0.6056,Peak Med Center,1,103,1501,82,1282,53,1232,63,1315,64,1787,83,1581,80,678,30,1224,48,0.047453,54.59,0.0784
e2c08629-c85e-4e6e-8bce-1c9b47008c5b,Health & Fitness,Weight Loss,Chicago,Restore & Recharge at Vitality Dental,An opportunity to enjoy premium service at a fraction of the regular cost. Our customers love the convenience and value of this deal. Valid for the options listed. See fine print for scheduling and restrictions.,Must redeem within 30 days; Expires 90 days from purchase; Gratuity not included; Limit 1 per household; Valid at Chicago location only; New customers only; Valid Mon-Fri only,4,"1 Visit, 3 Visits, 5 Visits, 10 Visits",35,54,0.3519,Vitality Dental,4,44,1050,41,1078,50,1166,42,737,29,1010,37,1248,45,949,29,814,27,0.037258,47.54,0.1044
7c765ecb-e12b-4d43-ad86-f249a9ca99ba,Beauty & Spas,Hair,Los Angeles,Revitalize Your Look w/ Amazing Services at Sapphire Beauty Bar,Experience the best that Los Angeles has to offer with this popular deal. Thousands of Groupon customers have enjoyed this offer. Book now to secure your spot before availability runs out. See fine print for redemption details.,No refunds after redemption; Valid at Los Angeles location only; Not valid Dec 24-Jan 2; No cash value; Merchant is solely responsible for care; Excludes alcohol; Valid for dine-in only,4,"Mini Refresh, Classic Treatment, Luxury Package, Ultimate Transformation",48,127,0.622,Sapphire Beauty Bar,4,67,2961,75,3006,69,3025,68,2934,66,2596,57,2984,66,2174,66,2985,64,0.023428,65.54,0.0943
872bbb9d-a910-415a-b804-cf2316c0496c,Automotive,Inspection,Los Angeles,Amazing Auto Service at MasterMech Tire & Auto,"Save on this top-rated experience in Los Angeles. Whether you're a local or just visiting, this deal offers real value. Simple redemption — just show your voucher. See fine print for full details.",Subject to availability; Merchant is solely responsible for care; Valid for dine-in only; Not valid Dec 24-Jan 2; Valid at Los Angeles location only,1,1 Session,61,156,0.609,MasterMech Tire & Auto,2,68,922,13,1045,14,914,9,924,11,834,11,946,13,1126,17,1185,14,0.012918,74.76,0.0542
30f2f9d8-f471-44b8-876e-bcc991826a3e,Automotive,Detailing,Los Angeles,AC Recharge & System Check at Jiffy Auto Spa,"What Is Included: Up to five quarts of quality oil (synthetic blend or full synthetic depending on option purchased), standard oil filter, lubrication of chassis components per manufacturer specs, and a complimentary multi-point maintenance check. Our certified technicians perform an inspection covering fluid levels, tire pressure, battery test, wiper blades, headlights and taillights, air filter, and antifreeze/coolant levels. What Is Not Included: Extra quarts beyond five are available for an additional fee at time of service. Premium or canister filters available for purchase. European oil types not included. Why You Should Grab This Offer: Our ASE-certified technicians complete over 270 hours of professional training. No appointment needed — stay-in-your-car service completed in approximately 15-20 minutes. Contactless payment available. Good to Know: Valid at participating locations. Digital inspection report emailed after service. All work backed by a service guarantee.",Must present voucher on arrival; Excludes alcohol; Limit 1 per person; Valid for dine-in only; Excludes weekends & public holidays; Expires 90 days from purchase,2,"Quick Service, Bumper-to-Bumper Overhaul",69,142,0.5141,Jiffy Auto Spa,4,100,1578,87,1056,74,1252,86,1036,85,959,80,1280,110,947,76,1109,122,0.078117,67.36,0.0944
d3d59cdf-2818-4317-b302-d6c39f517479,Things to Do,Tours,Seattle,Unforgettable Fun at Epic Cruises,"Treat yourself or someone special to this offer. Whether it's a birthday, anniversary, or just a Tuesday — you deserve something nice. Great quality at an unbeatable price. Restrictions may apply — see fine print for full details.",Not valid on holidays; No refunds after redemption; 48-hour cancellation policy,3,"Taster, Full Day Explorer, VIP Experience",45,67,0.3284,Epic Cruises,2,14,2435,36,1614,16,2923,42,2683,34,2286,24,2435,32,1954,28,2373,41,0.013527,65.09,0.0498
f426e648-4e88-41ba-97e1-32154ba24598,Retail,Fashion,Manchester,Must-Have Items at Great Prices,This is a deal you won't want to miss. Perfect for anyone looking for a great experience at a great price. Limited availability — grab it before it's gone. Valid for new and existing customers. See fine print for full details and restrictions.,Cannot be combined with other offers; Not valid on holidays; Gratuity not included; Excludes weekends & public holidays; Photo ID required; Not valid Dec 24-Jan 2; Limit 1 per household; Valid at Manchester location only; Excludes alcohol; Subject to availability,3,"Option 1, Option 2, Option 3",33,47,0.2979,Curated Emporium,1,106,1525,17,2538,32,1254,11,1132,13,2073,17,1901,18,1604,15,1640,15,0.010097,45.18,0.1511
2d5345d7-887f-414d-98a3-67bd91e63b7a,Automotive,Detailing,Seattle,Engine Diagnostic Scan & Report at PrecisionAuto Service Center,"What Is Included: Up to five quarts of quality oil (synthetic blend or full synthetic depending on option purchased), standard oil filter, lubrication of chassis components per manufacturer specs, and a complimentary multi-point maintenance check. Our certified technicians perform an inspection covering fluid levels, tire pressure, battery test, wiper blades, headlights and taillights, air filter, and antifreeze/coolant levels. What Is Not Included: Extra quarts beyond five are available for an additional fee at time of service. Premium or canister filters available for purchase. European oil types not included. Why You Should Grab This Offer: Our ASE-certified technicians complete over 270 hours of professional training. No appointment needed — stay-in-your-car service completed in approximately 15-20 minutes. Contactless payment available. Good to Know: Valid at participating locations. Digital inspection report emailed after service. All work backed by a service guarantee.",Cannot be combined with other offers; Promotional value expires 120 days after purchase; Valid for dine-in only; Not valid Dec 24-Jan 2; Excludes alcohol,1,Complete Vehicle Refresh,84,160,0.475,PrecisionAuto Service Center,2,104,1339,65,1275,45,1299,73,1854,127,1721,88,1263,42,1704,77,1857,87,0.049058,123.13,0.0536
94f72ee4-1852-4ab6-b21a-511a8f0cb99e,Retail,Fashion,San Francisco,"Organic Skincare Set — Cleanser, Serum & Moisturizer",What's Included: Product ships within 2-3 business days via USPS or UPS with tracking number provided via email. Each item is quality-inspected before shipping and arrives in protective packaging. 30-day hassle-free returns accepted with original packaging — we'll provide a prepaid return label. Why You Should Grab This Offer: This product has been one of our top sellers with over 500 five-star reviews. Made with premium materials designed for daily use. Makes an excellent gift — arrives in presentation-ready packaging with the option to include a personalized gift note at checkout. Good to Know: Available in multiple sizes and colors — select your preferred option at checkout. Ships to all 50 US states. International shipping available for an additional fee. Bulk orders of 5+ units receive an automatic 10% discount.,Excludes alcohol; Valid for dine-in only; New customers only; Appointment required; Not valid on holidays; Limit 1 per household; Valid at San Francisco location only,3,"1 Session, 3 Sessions, 5 Sessions",12,27,0.5556,Curated Collection,3,82,198,7,166,5,220,7,219,7,209,6,218,4,234,5,211,8,0.029254,14.56,0.0655
